priority,tier,session,signal,q,body,source,topics,title,url,path
1,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,Movement & History|Process & Studio,The 11 Types of Trendy Graphic Design Paul Rand Hated &#8211; Eye on Design,https://eyeondesign.aiga.org/the-11-types-of-trendy-graphic-design-paul-rand-hated/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095038-q96-the-11-types-of-trendy-graphic-design-paul-rand-ha.md
2,1,v2-overnight,9,0.92,8000,eyeondesign.aiga.org,Color & Palette|AI & Design,How Computer Code Became a Modern Design Medium—an Oral History &#8211; Eye on Design,https://eyeondesign.aiga.org/how-an-mit-research-group-turned-computer-code-into-a-modern-design-medium/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095633-q92-how-computer-code-became-a-modern-design-medium-an.md
3,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,Typography & Type|AI & Design,"Celebrating Söre Popitz, the Bauhaus’ Only Known Woman Graphic Designer &#8211; Eye on Des",https://eyeondesign.aiga.org/sore-popitz-meet-the-bauhauss-only-known-woman-graphic-designer/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095657-q96-celebrating-s-re-popitz-the-bauhaus-only-known-wom.md
4,1,v2-overnight,9,0.90,8000,typographica.org,Typography & Type|Editorial & Print,Max Bill kontra Jan Tschichold: Der Typografiestreit der Moderne &#8211; Typographica,https://typographica.org/typography-books/max-bill-kontra-jan-tschichold-der-typographiestreit-der-moderne/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c1-20260603-042305-q89-max-bill-kontra-jan-tschichold-der-typografiestrei.md
5,1,v2-overnight,9,1.00,8000,www.pentagram.com,Color & Palette|Branding & Identity,Colin Forbes on the Structure of Pentagram,https://www.pentagram.com/news/colin-forbes-on-the-structure-of-pentagram,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-115755-q100-colin-forbes-on-the-structure-of-pentagram.md
6,1,v2-overnight,9,1.00,8000,eyeondesign.aiga.org,Color & Palette|Branding & Identity,“Epically Long”—How Pentagram Chooses Its New Partners &#8211; Eye on Design,https://eyeondesign.aiga.org/epically-long-how-pentagram-chooses-its-new-partners/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-120018-q100-epically-long-how-pentagram-chooses-its-new-partne.md
7,1,v2-overnight,9,1.00,8000,www.pentagram.com,Branding & Identity|Web & UI,Pentagram — The world’s largest independent design consultancy,https://www.pentagram.com,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183030-q100-pentagram-the-world-s-largest-independent-design-c.md
8,1,v2-overnight,9,1.00,8000,www.pentagram.com,Branding & Identity|Web & UI,Pentagram — The world’s largest independent design consultancy,http://www.pentagram.com/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c7-20260603-120722-q99-pentagram-the-world-s-largest-independent-design-c.md
9,1,v2-overnight,9,1.00,7067,www.pentagram.com,Branding & Identity|Typography & Type,Live from New York: The Lorne Michaels Collection,https://www.pentagram.com/work/live-from-new-york-the-lorne-michaels-collection,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183329-q100-live-from-new-york-the-lorne-michaels-collection.md
10,1,v2-overnight,9,1.00,6873,www.pentagram.com,Branding & Identity|AI & Design,Pentagram,https://www.pentagram.com/arts-culture,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183052-q100-pentagram.md
11,1,v2-overnight,9,1.00,6463,www.itsnicethat.com,Branding & Identity|Typography & Type,Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagram partner,https://www.itsnicethat.com/articles/luke-powell-jody-hudson-powell-bait-titles-graphic-design-project-200426,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183452-q100-riz-ahmed-s-new-show-bait-has-a-spy-spoof-title-se.md
12,1,v2-overnight,9,0.89,6014,www.pentagram.com,Branding & Identity|Layout & Grid,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183411-q89-mon-takanawa-the-museum-of-narratives.md
13,1,v2-overnight,9,1.00,5806,www.pentagram.com,Branding & Identity|Process & Studio,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183447-q100-st-paul-s-cathedral.md
14,1,v2-overnight,9,1.00,5775,www.pentagram.com,Branding & Identity|Typography & Type,Pentagram,https://www.pentagram.com/entertainment,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183106-q99-pentagram.md
15,1,v2-overnight,9,0.91,5586,www.pentagram.com,Branding & Identity|Typography & Type,Work — Browse by type of client,https://www.pentagram.com/work,/Users/nothingfear/overnight-ai-aesthetic/out/a-c1-20260603-133411-q90-work-browse-by-type-of-client.md
16,1,v2-overnight,9,0.96,5024,www.pentagram.com,Branding & Identity|Photography,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183402-q96-mosaic-rooms.md
17,1,v2-overnight,9,1.00,5014,www.pentagram.com,Branding & Identity|Web & UI,Pentagram,https://www.pentagram.com/manufacturing-industrials,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-183114-q100-pentagram.md
18,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Typography & Type|Color & Palette,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c1-20260603-133259-q91-eye-on-design-8211-aiga-eye-on-design.md
19,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,Color & Palette|Typography & Type,"The ’80s Are Back, Baby &#8211; Eye on Design",https://eyeondesign.aiga.org/the-80s-are-back-baby/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095103-q93-the-80s-are-back-baby-8211-eye-on-design.md
20,1,v2-overnight,8,0.85,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,"Unconventional Sleep Aids Are in Vogue, and They’re Designed To Chill You Out &#8211; Eye ",https://eyeondesign.aiga.org/food-and-beverage-packaging-is-getting-very-sleepy/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095143-q85-unconventional-sleep-aids-are-in-vogue-and-they-re.md
21,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,AI & Design|Editorial & Print,Why Pay Transparency Matters in Job Negotiations &#8211; Eye on Design,https://eyeondesign.aiga.org/why-pay-transparency-matters-in-job-negotiations/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095317-q91-why-pay-transparency-matters-in-job-negotiations-8.md
22,1,v2-overnight,8,0.96,8000,eyeondesign.aiga.org,Typography & Type|Branding & Identity,Can Better Labels Really Fix Recycling? &#8211; Eye on Design,https://eyeondesign.aiga.org/can-better-labels-really-fix-recycling/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095356-q95-can-better-labels-really-fix-recycling-8211-eye-on.md
23,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,Editorial & Print|Photography,Tradeswomen Was the Magazine for Women in Blue-Collar Work During the ’80s and ’90s &#8211,https://eyeondesign.aiga.org/tradeswomen-was-the-magazine-for-women-in-blue-collar-work-during-the-80s-and-90s/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095459-q94-tradeswomen-was-the-magazine-for-women-in-blue-col.md
24,1,v2-overnight,8,0.94,8000,eyeondesign.aiga.org,Color & Palette|AI & Design,How Cranbrook’s Design Program Redefined How We Make and Talk About Graphic Design &#8211;,https://eyeondesign.aiga.org/how-cranbrooks-design-program-redefined-how-we-make-and-talk-about-graphic-design/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095626-q94-how-cranbrook-s-design-program-redefined-how-we-ma.md
25,1,v2-overnight,8,0.95,8000,eyeondesign.aiga.org,Editorial & Print|AI & Design,"In the ’70s, the Dalit Panthers Made Pocket-Sized Magazines That Challenged Social Hierarc",https://eyeondesign.aiga.org/in-the-70s-the-dalit-panthers-made-pocket-sized-magazines-that-challenged-social-hierarchies-in-india/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095713-q95-in-the-70s-the-dalit-panthers-made-pocket-sized-ma.md
26,1,v2-overnight,8,0.92,8000,eyeondesign.aiga.org,Typography & Type|Color & Palette,Eye on Design &#8211; AIGA Eye on Design,https://eyeondesign.aiga.org/category/design/profile/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095939-q91-eye-on-design-8211-aiga-eye-on-design.md
27,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Web & UI|Editorial & Print,Compilation: 15 Hilarious Google Flops,https://webdesignerdepot.com/compilation-15-hilarious-google-flops/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c4-20260603-172519-q100-compilation-15-hilarious-google-flops.md
28,1,v2-overnight,8,1.00,8000,typographica.org,Typography & Type|Process & Studio,A Grammar of Typography: Classical Book Design in the Digital Age &#8211; Typographica,https://typographica.org/typography-books/a-grammar-of-typography-classical-book-design-in-the-digital-age/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c5-20260603-180436-q100-a-grammar-of-typography-classical-book-design-in-t.md
29,1,v2-overnight,8,0.99,8000,typographica.org,Typography & Type|Material & 3D,Size-specific Adjustments to Type Designs &#8211; Typographica,https://typographica.org/typography-books/size-specific-adjustments-to-type-designs/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c5-20260603-180441-q98-size-specific-adjustments-to-type-designs-8211-typ.md
30,1,v2-overnight,8,0.88,8000,typographica.org,Typography & Type|Editorial & Print,"The Elements of Typographic Style, Version&nbsp;4.0 &#8211; Typographica",https://typographica.org/typography-books/the-elements-of-typographic-style-4th-edition/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c1-20260603-042307-q88-the-elements-of-typographic-style-version-nbsp-4-0.md
31,1,v2-overnight,8,1.00,8000,typographica.org,Typography & Type|Color & Palette,Just My Type: A Book About Fonts &#8211; Typographica,https://typographica.org/typography-books/just-my-type-a-book-about-fonts/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c5-20260603-180458-q100-just-my-type-a-book-about-fonts-8211-typographica.md
32,1,v2-overnight,8,0.90,8000,typographica.org,Typography & Type|Branding & Identity,Chahine &#038; Samarskaya Cochair TDC’S 25th Type Design Competition &#8211; Typographica,https://typographica.org/on-typography/interview/nadine-chahine-ksenya-samarskaya-cochair-the-tdcs-25th-typeface-design-competition/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c5-20260603-180524-q89-chahine-038-samarskaya-cochair-tdc-s-25th-type-des.md
33,1,v2-overnight,8,0.90,8000,typographica.org,Typography & Type|Material & 3D,Type Design in the Museum: Acquiring the Immaterial &#8211; Typographica,https://typographica.org/on-typography/type-design-in-the-museum-acquiring-the-immaterial/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c1-20260603-042319-q90-type-design-in-the-museum-acquiring-the-immaterial.md
34,1,v2-overnight,8,0.88,8000,typographica.org,Typography & Type|AI & Design,Carolina Laudon &#8211; Typographica,https://typographica.org/on-typography/interview/carolina-laudon/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c1-20260603-042321-q87-carolina-laudon-8211-typographica.md
35,1,v2-overnight,8,0.97,8000,typographica.org,Typography & Type|Color & Palette,Our Favorite Typefaces of 2005 &#8211; Typographica,https://typographica.org/on-typography/our-favorite-typefaces-of-2005/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c5-20260603-180718-q97-our-favorite-typefaces-of-2005-8211-typographica.md
36,1,v2-overnight,8,0.89,8000,typographica.org,Typography & Type|Web & UI,https://typographica.org/wp-content/themes/typo/style.css,https://typographica.org/wp-content/themes/typo/style.css,/Users/nothingfear/overnight-ai-aesthetic/out/a-c3-20260603-100249-q89-https-typographica-org-wp-content-themes-typo-styl.md
37,1,v2-overnight,8,0.95,8000,typographica.org,Typography & Type|Editorial & Print,Comments for Typographica,https://typographica.org/comments/feed/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c3-20260603-100312-q95-comments-for-typographica.md
38,1,v2-overnight,8,0.87,8000,typographica.org,Typography & Type|Editorial & Print,https://typographica.org/wp-json/,https://typographica.org/wp-json/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c3-20260603-100409-q86-https-typographica-org-wp-json.md
39,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Web & UI|Branding & Identity,Logo Design Trends for 2026: What I’m Actually Seeing (And What Most Designers Are Missing,https://webdesignerdepot.com/logo-design-trends-for-2026-what-im-actually-seeing-and-what-most-designers-are-missing/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c4-20260603-172236-q100-logo-design-trends-for-2026-what-i-m-actually-seei.md
40,1,v2-overnight,8,1.00,8000,webdesignerdepot.com,Web & UI|Typography & Type,The Great Transition: Why the Design World is Re-Evaluating Figma,https://webdesignerdepot.com/the-great-transition-why-the-design-world-is-re-evaluating-figma/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c4-20260603-172329-q100-the-great-transition-why-the-design-world-is-re-ev.md
41,1,v2-overnight,8,1.00,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,Inside London’s Wolff Olins and Pentagram Studios &#8211; Eye on Design,https://eyeondesign.aiga.org/city-guides/london/inside-londons-wolff-olins-and-pentagram-studios/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-115733-q100-inside-london-s-wolff-olins-and-pentagram-studios-.md
42,1,v2-overnight,8,1.00,8000,eyeondesign.aiga.org,Branding & Identity|AI & Design,"Michael Gericke on Maintaining Pentagram’s Rep, His Biggest Regrets + How He Nearly Became",https://eyeondesign.aiga.org/michael-gericke-on-maintaining-pentagrams-rep-his-biggest-regrets-how-he-nearly-became-a-ski-bum-instead/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-120108-q100-michael-gericke-on-maintaining-pentagram-s-rep-his.md
43,1,v2-overnight,8,0.86,8000,www.pentagram.com,Typography & Type|Web & UI,https://www.pentagram.com/build/main/assets/index-Ba6h7bZK.css,https://www.pentagram.com/build/main/assets/index-Ba6h7bZK.css,/Users/nothingfear/overnight-ai-aesthetic/out/a-c6-20260603-182812-q85-https-www-pentagram-com-build-main-assets-index-ba.md
44,1,v2-overnight,8,0.95,7999,eyeondesign.aiga.org,Minimalism|Branding & Identity,"Tech Minimalism is Out. Welcome to the Squishy, Microbial World of the Biobrand &#8211; Ey",https://eyeondesign.aiga.org/tech-minimalism-is-out-welcome-to-the-squishy-microbial-world-of-the-biobrand/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095443-q94-tech-minimalism-is-out-welcome-to-the-squishy-micr.md
45,1,v2-overnight,8,0.94,7999,eyeondesign.aiga.org,AI & Design|Editorial & Print,Cruelty-Free? Don’t Believe All the Cute Bunny Labels &#8211; Eye on Design,https://eyeondesign.aiga.org/cruelty-free-dont-believe-all-the-cute-bunny-labels/,/Users/nothingfear/overnight-ai-aesthetic/out/a-c2-20260603-095547-q94-cruelty-free-don-t-believe-all-the-cute-bunny-labe.md
