topic,tier,session,signal,q,body,source,title,url,path
Movement & History,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,The 11 Types of Trendy Graphic Design Paul Rand Hated &#8211; Eye on Design,https://eyeondesign.aiga.org/the-11-types-of-trendy-graphic-design-paul-rand-hated/,
Process & Studio,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,The 11 Types of Trendy Graphic Design Paul Rand Hated &#8211; Eye on Design,https://eyeondesign.aiga.org/the-11-types-of-trendy-graphic-design-paul-rand-hated/,
Typography & Type,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,The 11 Types of Trendy Graphic Design Paul Rand Hated &#8211; Eye on Design,https://eyeondesign.aiga.org/the-11-types-of-trendy-graphic-design-paul-rand-hated/,
Color & Palette,1,v2-overnight,9,0.92,8000,eyeondesign.aiga.org,How Computer Code Became a Modern Design Medium—an Oral History &#8211; Eye on D,https://eyeondesign.aiga.org/how-an-mit-research-group-turned-computer-code-into-a-modern-design-medium/,
AI & Design,1,v2-overnight,9,0.92,8000,eyeondesign.aiga.org,How Computer Code Became a Modern Design Medium—an Oral History &#8211; Eye on D,https://eyeondesign.aiga.org/how-an-mit-research-group-turned-computer-code-into-a-modern-design-medium/,
Architecture & Brutalism,1,v2-overnight,9,0.92,8000,eyeondesign.aiga.org,How Computer Code Became a Modern Design Medium—an Oral History &#8211; Eye on D,https://eyeondesign.aiga.org/how-an-mit-research-group-turned-computer-code-into-a-modern-design-medium/,
Typography & Type,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,"Celebrating Söre Popitz, the Bauhaus’ Only Known Woman Graphic Designer &#8211; ",https://eyeondesign.aiga.org/sore-popitz-meet-the-bauhauss-only-known-woman-graphic-designer/,
AI & Design,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,"Celebrating Söre Popitz, the Bauhaus’ Only Known Woman Graphic Designer &#8211; ",https://eyeondesign.aiga.org/sore-popitz-meet-the-bauhauss-only-known-woman-graphic-designer/,
Editorial & Print,1,v2-overnight,9,0.96,8000,eyeondesign.aiga.org,"Celebrating Söre Popitz, the Bauhaus’ Only Known Woman Graphic Designer &#8211; ",https://eyeondesign.aiga.org/sore-popitz-meet-the-bauhauss-only-known-woman-graphic-designer/,
Typography & Type,1,v2-overnight,9,0.90,8000,typographica.org,Max Bill kontra Jan Tschichold: Der Typografiestreit der Moderne &#8211; Typogra,https://typographica.org/typography-books/max-bill-kontra-jan-tschichold-der-typographiestreit-der-moderne/,
Editorial & Print,1,v2-overnight,9,0.90,8000,typographica.org,Max Bill kontra Jan Tschichold: Der Typografiestreit der Moderne &#8211; Typogra,https://typographica.org/typography-books/max-bill-kontra-jan-tschichold-der-typographiestreit-der-moderne/,
Movement & History,1,v2-overnight,9,0.90,8000,typographica.org,Max Bill kontra Jan Tschichold: Der Typografiestreit der Moderne &#8211; Typogra,https://typographica.org/typography-books/max-bill-kontra-jan-tschichold-der-typographiestreit-der-moderne/,
Color & Palette,1,v2-overnight,9,1.00,8000,www.pentagram.com,Colin Forbes on the Structure of Pentagram,https://www.pentagram.com/news/colin-forbes-on-the-structure-of-pentagram,
Branding & Identity,1,v2-overnight,9,1.00,8000,www.pentagram.com,Colin Forbes on the Structure of Pentagram,https://www.pentagram.com/news/colin-forbes-on-the-structure-of-pentagram,
AI & Design,1,v2-overnight,9,1.00,8000,www.pentagram.com,Colin Forbes on the Structure of Pentagram,https://www.pentagram.com/news/colin-forbes-on-the-structure-of-pentagram,
Color & Palette,1,v2-overnight,9,1.00,8000,eyeondesign.aiga.org,“Epically Long”—How Pentagram Chooses Its New Partners &#8211; Eye on Design,https://eyeondesign.aiga.org/epically-long-how-pentagram-chooses-its-new-partners/,
Branding & Identity,1,v2-overnight,9,1.00,8000,eyeondesign.aiga.org,“Epically Long”—How Pentagram Chooses Its New Partners &#8211; Eye on Design,https://eyeondesign.aiga.org/epically-long-how-pentagram-chooses-its-new-partners/,
AI & Design,1,v2-overnight,9,1.00,8000,eyeondesign.aiga.org,“Epically Long”—How Pentagram Chooses Its New Partners &#8211; Eye on Design,https://eyeondesign.aiga.org/epically-long-how-pentagram-chooses-its-new-partners/,
Branding & Identity,1,v2-overnight,9,1.00,8000,www.pentagram.com,Pentagram — The world’s largest independent design consultancy,https://www.pentagram.com,
Web & UI,1,v2-overnight,9,1.00,8000,www.pentagram.com,Pentagram — The world’s largest independent design consultancy,https://www.pentagram.com,
AI & Design,1,v2-overnight,9,1.00,8000,www.pentagram.com,Pentagram — The world’s largest independent design consultancy,https://www.pentagram.com,
Branding & Identity,1,v2-overnight,9,1.00,8000,www.pentagram.com,Pentagram — The world’s largest independent design consultancy,http://www.pentagram.com/,
Web & UI,1,v2-overnight,9,1.00,8000,www.pentagram.com,Pentagram — The world’s largest independent design consultancy,http://www.pentagram.com/,
AI & Design,1,v2-overnight,9,1.00,8000,www.pentagram.com,Pentagram — The world’s largest independent design consultancy,http://www.pentagram.com/,
Branding & Identity,1,v2-overnight,9,1.00,7067,www.pentagram.com,Live from New York: The Lorne Michaels Collection,https://www.pentagram.com/work/live-from-new-york-the-lorne-michaels-collection,
Typography & Type,1,v2-overnight,9,1.00,7067,www.pentagram.com,Live from New York: The Lorne Michaels Collection,https://www.pentagram.com/work/live-from-new-york-the-lorne-michaels-collection,
AI & Design,1,v2-overnight,9,1.00,7067,www.pentagram.com,Live from New York: The Lorne Michaels Collection,https://www.pentagram.com/work/live-from-new-york-the-lorne-michaels-collection,
Branding & Identity,1,v2-overnight,9,1.00,6873,www.pentagram.com,Pentagram,https://www.pentagram.com/arts-culture,
AI & Design,1,v2-overnight,9,1.00,6873,www.pentagram.com,Pentagram,https://www.pentagram.com/arts-culture,
Editorial & Print,1,v2-overnight,9,1.00,6873,www.pentagram.com,Pentagram,https://www.pentagram.com/arts-culture,
Branding & Identity,1,v2-overnight,9,1.00,6463,www.itsnicethat.com,Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagr,https://www.itsnicethat.com/articles/luke-powell-jody-hudson-powell-bait-titles-graphic-design-project-200426,
Typography & Type,1,v2-overnight,9,1.00,6463,www.itsnicethat.com,Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagr,https://www.itsnicethat.com/articles/luke-powell-jody-hudson-powell-bait-titles-graphic-design-project-200426,
AI & Design,1,v2-overnight,9,1.00,6463,www.itsnicethat.com,Riz Ahmed’s new show Bait has a spy-spoof title sequence masterminded by Pentagr,https://www.itsnicethat.com/articles/luke-powell-jody-hudson-powell-bait-titles-graphic-design-project-200426,
Branding & Identity,1,v2-overnight,9,0.89,6014,www.pentagram.com,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,
Layout & Grid,1,v2-overnight,9,0.89,6014,www.pentagram.com,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,
AI & Design,1,v2-overnight,9,0.89,6014,www.pentagram.com,MoN Takanawa: The Museum of Narratives,https://www.pentagram.com/work/mon-takanawa-the-museum-of-narratives,
Branding & Identity,1,v2-overnight,9,1.00,5806,www.pentagram.com,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,
Process & Studio,1,v2-overnight,9,1.00,5806,www.pentagram.com,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,
AI & Design,1,v2-overnight,9,1.00,5806,www.pentagram.com,St Paul’s Cathedral,https://www.pentagram.com/work/st-paul-s-cathedral,
Branding & Identity,1,v2-overnight,9,1.00,5775,www.pentagram.com,Pentagram,https://www.pentagram.com/entertainment,
Typography & Type,1,v2-overnight,9,1.00,5775,www.pentagram.com,Pentagram,https://www.pentagram.com/entertainment,
AI & Design,1,v2-overnight,9,1.00,5775,www.pentagram.com,Pentagram,https://www.pentagram.com/entertainment,
Branding & Identity,1,v2-overnight,9,0.91,5586,www.pentagram.com,Work — Browse by type of client,https://www.pentagram.com/work,
Typography & Type,1,v2-overnight,9,0.91,5586,www.pentagram.com,Work — Browse by type of client,https://www.pentagram.com/work,
Editorial & Print,1,v2-overnight,9,0.91,5586,www.pentagram.com,Work — Browse by type of client,https://www.pentagram.com/work,
Branding & Identity,1,v2-overnight,9,0.96,5024,www.pentagram.com,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,
Photography,1,v2-overnight,9,0.96,5024,www.pentagram.com,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,
AI & Design,1,v2-overnight,9,0.96,5024,www.pentagram.com,Mosaic Rooms,https://www.pentagram.com/work/mosaic-rooms,
Branding & Identity,1,v2-overnight,9,1.00,5014,www.pentagram.com,Pentagram,https://www.pentagram.com/manufacturing-industrials,
Web & UI,1,v2-overnight,9,1.00,5014,www.pentagram.com,Pentagram,https://www.pentagram.com/manufacturing-industrials,
